项目编号:,PC[2013]002----豫盛华采字GK第002号
中标类型:,采购中标
地 区:,河南
招标单位:,濮阳市林业局
工程名称:,河南盛华会计师事务所有限公司政府采购工业大道绿化苗木项目五标段中标公告
中标单位:,菏泽市宏远苗木专业合作社
建筑面积:,
中标价格:,6.50 万元
公示时间:,2013-1-30
备 注:,
