项目编号:,6120684 6120679
中标类型:,监理中标
地 区:,新疆
招标单位:,乌鲁木齐高新投资发展集团有限公司
工程名称:,新疆乌鲁木齐高新技术开发区（新市区）纬五路绿化工程（一标段）监理中标公示
中标单位:,新疆建工工程监理有限公司
建筑面积:,36555平方米
中标价格:,
公示时间:,
备 注:,
