合同编号:,JBZC2019_014212_302-JH0074-XM001-002
合同名称:,学科建设-优势学科-计算机科学与技术政府采购合同
项目编号:,JBZC2019_014212_302-JH0074-XM001
项目名称:,学科建设-优势学科-计算机科学与技术
采购人（甲方）:,北方工业大学
供应商（乙方）:,北京鼎力信安技术有限公司
所属地域:,北京市
所属行业:,制造业
合同金额:,29.878500万元
合同签订日期:,2019-07-24
合同公告日期:,2019-07-25
代理机构:,北京国际工程咨询有限公司
中标、成交公告:,北方工业大学学科建设-优势学科-计算机科学与技术项目中标公告
合同附件:,19XN123-鼎力信安.PDF下载
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
