合同编号:,2019协ZGCXWZFWYH-07
合同名称:,中共成县委政法委员会办公设备及耗材采购项目
项目编号:,D0120180704000002
项目名称:,办公设备及耗材采购项目
采购人（甲方）:,中共成县委政法委员会
供应商（乙方）:,成县鑫博商贸有限公司
所属地域:,甘肃省 陇南市 成县
所属行业:,公共管理、社会保障和社会组织
合同金额:,4.775000万元
合同签订日期:,2019-07-08
合同公告日期:,2019-07-10
代理机构:,甘肃中维建设造价咨询有限责任公司
中标、成交公告:,无
合同附件:,政法委下载
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
