第一中标候选人:,南京宏根消防设备有限公司，中标价格:1059000.00元，
第二中标候选人:,江西潦河消防设备有限公司，中标价格:1065000.00元，
第三中标候选人:,泰州市顺发消防器材有限公司，中标价格:998000.00元，
评标委员会成员:,吴曹江、谢春梅、雷俭、梁振江、钱兴熊
