五条道路沿线改造提升（310国道、大浦路、长深高速段）工程的中标公告
工程编号:,3207071904150106
工程名称:,五条道路沿线改造提升（310国道、大浦路、长深高速段）工程
标段编号:,3207071904150106-BD-001
标段名称:,五条道路沿线改造提升（310国道、大浦路、长深高速段）工程
建设单位名称:,江苏新海科产业投资发展有限公司
工程类型:,施工
建设地点,起于陇海铁路交汇点，止于临洪大道交汇点
发包类型:,公开招标
中标单位名称:,常州蓝田人景观建筑规划设计工程有限公司
项目经理姓名:,戴锁芳
质检员:,
材料员:,
安全员:,
预算员:,
施工员:,
中标价（万元）:,883.173553
有效工期（天）,180
中标时间:,2019年05月10日
建设地点,起于陇海铁路交汇点，止于临洪大道交汇点
