标包名称,中标单位名称,中标候选人名次
阿坝州农牧局等12个点机房建设、庭院管网土建及安装工程施工专业工程分包,甘肃恒泰万盛工程建设有限公司,第一中标候选人
阿坝州农牧局等12个点机房建设、庭院管网土建及安装工程施工专业工程分包,四川永屹豪建设工程有限公司,第二中标候选人
阿坝州农牧局等12个点机房建设、庭院管网土建及安装工程施工专业工程分包,甘肃瑞光工程建设有限公司,第三中标候选人
