项目信息
备案项目编号	2015-440404-48-03-009863
项目名称	珠海富山产业新城起步区外马山北路及富山七路道路工程
项目所在地	珠海市富山工业园
项目总投资	18534.3万元
项目规模及内容	马山北路西起高栏高速辅道，东至工业大道，道路总长约1484.1m，宽50m，占地面积83245㎡（含新建排洪渠）;富山七路位起于高栏高速辅道，终于富强路，道路全长约444.5米，路宽18米;建设内容包含:道路工程、给排水工程、绿化景观工程、排洪渠工程等。
建设单位	珠海富山工业园投资开发有限公司
备案机关	珠海市富山工业园管理委员会经济发展局
备案申报日期	2015-11-03 17:29:53.0
复核通过日期	2015-11-05 00:00:00.0
项目起止年限	2017-11-01 00:00:00.0
 											 - 2019-09-01 00:00:00.0
项目当前状态	办结（通过）
