询价单名称,上海电力阚山电厂五金材料询价询价结果通知书
采购人,江苏阚山发电有限公司
询价单编号,2020-HD-SHDL-SUKS-3-0090-1,发布时间,2020-01-18 23:20:33
详细内容,,报价截止日期,
报名截止日期,
原因,"请报价厂家按照规格型号报价。
注:1、此批询价紧固件要求品牌:常熟大力，如不能满足要求，属无效报价
2、如交货期不能满足要求，属无效报价"
