合同编号:,2017HFCZ1051-001
合同名称:,合肥市生活废弃物管理中心2017年钢板路机箱及卸料平台采购
项目编号:,2017HFCZ1051
项目名称:,合肥市生活废弃物管理中心2017年钢板路机箱及卸料平台采购
采购人（甲方）:,合肥市生活废弃物管理中心
供应商（乙方）:,合肥建工钢结构彩板有限责任公司
所属地域:,安徽省 合肥市 市辖区
所属行业:,农、林、牧、渔业
合同金额:,208.880000万元
合同签订日期:,2017-05-24
合同公告日期:,2017-05-25
代理机构:,合肥市财政局
中标、成交公告:,无
合同附件:,
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
