合同编号:,19JYSH/640640HK
合同名称:,清华大学高速超高分辨激光扫描共聚焦显微镜
项目编号:,清设招第2019256号
项目名称:,清华大学高速超高分辨激光扫描共聚焦显微镜
采购人（甲方）:,清华大学
供应商（乙方）:,北京博瑞斯科技有限公司
所属地域:,北京市 市辖区 海淀区
所属行业:,普通高等教育
合同金额:,244.500000万元
合同签订日期:,2019-11-01
合同公告日期:,2019-11-01
代理机构:,无
中标、成交公告:,清华大学高速超高分辨激光扫描共聚焦显微镜中标公告
合同附件:,清设招第2019256号19JYSH-640640HK合同附件.pdf下载清设招第2019256号19JYSH-640640HK关联性说明.pdf下载清设招第2019256号19JYSH-640640HK结算备忘.pdf下载
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
