合同编号:,2017008
合同名称:,十八里店海关锅炉改造项目合同
项目编号:,0730-176112020159/01
项目名称:,十八里店海关锅炉改造
采购人（甲方）:,北京海关
供应商（乙方）:,信邦建设工程有限公司
所属地域:,山东省 泰安市 肥城市
所属行业:,管道和设备安装
合同金额:,202.849275万元
合同签订日期:,2017-08-16
合同公告日期:,2017-09-13
代理机构:,中航技国际经贸发展有限公司
中标、成交公告:,十八里店海关锅炉改造项目中标公告
合同附件:,十八里店海关锅炉改造.pdf下载
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
