合同编号:,SXJH公招（货物）2018-012
合同名称:,青海省政府采购合同（德令哈市广播电视台新闻外网文稿系统）
项目编号:,山西景宏公招（货物）2018-012
项目名称:,德令哈市广播电视台新闻外网文稿系统
采购人（甲方）:,德令哈市广播电视台
供应商（乙方）:,成都索贝数码科技股份有限公司
所属地域:,青海省
所属行业:,广播、电视、电影和影视录音制作业
合同金额:,0.005000万元
合同签订日期:,2018-05-08
合同公告日期:,2018-06-06
代理机构:,山西景宏建设工程项目管理有限公司青海分公司
中标、成交公告:,德令哈市广播电视台新闻外网文稿系统中标公告
合同附件:,
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
