合同编号:	SRHT2019001810
合同名称:	技术咨询服务合同
项目编号:	0637-198102010234
项目名称:	贵州省基础设施六网会战行动工业互联网项目库建设
采购人（甲方）:	无
供应商（乙方）:	中国信息通信研究院
所属地域:	贵州省
所属行业:	信息传输、软件和信息技术服务业
合同金额:	46.500000万元
合同签订日期:	2019-07-16
合同公告日期:	2019-07-15
代理机构:	贵州鹏业国际机电设备招标有限公司
中标、成交公告:	贵州省基础设施六网会战行动工业互联网项目库建设单一来源（成交）公告
合同附件:	
免责声明	本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
