合同编号:	JCZXYX2016-12-29
合同名称:	国家外汇管理局电视电话会议系统升级服务项目（第二包）（投影仪、控制器和维保服务）
项目编号:	JCZX2016019
项目名称:	国家外汇管理局电视电话会议系统升级服务项目（第二包）（投影仪、控制器和维保服务）
采购人（甲方）:	国家外汇管理局
供应商（乙方）:	神州数码（中国）有限公司
所属地域:	北京市
所属行业:	软件和信息技术服务业
合同金额:	64.500000万元
合同签订日期:	2016-12-29
合同公告日期:	2017-01-16
代理机构:	国家外汇管理局政府采购办公室
中标、成交公告:	国家外汇管理局电视电话会议系统升级服务项目成交公告
合同附件:	电视电话会议系统升级服务项目（第二包）（投影仪，控制器和维保服务）.pdf下载
免责声明	本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
