合同编号,HNQJX-2018-420-1,合同名称,电视区火灾自动报警系统改造工程合同文件
项目编号,HNQJX-2018-420-1,项目名称,电视区火灾自动报警系统改造工程
采购人（甲方）,海南广播电视总,供应商（乙方）,九江中船长安消防设备有限公司海南分公司
所属区域,省本级,所属行业,批发和零售业
合同金额（万元）,48.5,合同签订日期,2018-06-11
合同公告日期,2018-06-12,代理机构,海南千君信项目管理有限公司
中标、成交公告,
合同附件,2018_06_07_17_34_35.jpg2018_06_07_17_34_37.jpg2018_06_07_17_34_39.jpg2018_06_07_17_34_41.jpg2018_06_07_17_34_44.jpg2018_06_07_17_34_46.jpg2018_06_07_17_34_48.jpg2018_06_07_17_34_50.jpg2018_06_07_17_34_52.jpg420-1中标通知书.jpg
