标包名称,中标单位名称,中标候选人名次
中国华西成渝公司智荟城1期、智荟城幼儿园及1＃楼商墅项目水泥招标任务,成都市胜莉建材有限公司,第一中标候选人
中国华西成渝公司智荟城1期、智荟城幼儿园及1＃楼商墅项目水泥招标任务,成都市微海商贸有限公司,第三中标候选人
中国华西成渝公司智荟城1期、智荟城幼儿园及1＃楼商墅项目水泥招标任务,成都展灏科技有限公司,第二中标候选人
