合同编号:,GXGX-2017-126
合同名称:,大新县恩城乡陆榜村苏屯宜居乡村示范点项施工合同
项目编号:,GXGX-2017-126
项目名称:,大新县恩城乡陆榜村苏屯宜居乡村示范点项
采购人（甲方）:,大新县“美丽大新”乡村建设领导小组办公室
供应商（乙方）:,广西恒广建筑工程有限公司
所属地域:,广西壮族自治区 崇左市 大新县
所属行业:,信息传输、软件和信息技术服务业
合同金额:,529.269901万元
合同签订日期:,2018-01-03
合同公告日期:,2018-03-20
代理机构:,广西国兴项目管理有限公司
中标、成交公告:,广西恒广建筑工程有限公司
合同附件:,
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
