项目编号:	ZX20090049
中标类型:	监理中标
地 区:	江苏
招标单位:	苏州汾湖投资集团有限公司
工程名称:	苏州洋砂路西侧景观绿化工程施工监理中标公示
中标单位:	江苏山水建设集团有限公司
建筑面积:	
中标价格:	40.68 万元
公示时间:	2010-1-6
备 注:	编号: ZX20090049根据工程招标投标的有关法律、法规、规章和该工程招标文件的规定，苏州汾湖投资集团有限公司 的 景观绿化施工监理 工程的评标工作已经结束，中标人已经确定。现将中标结果公示如下:中标人名称:江苏山水建设集团有限公司中 标 价:40.68万元中标工期:180天中标质量标准:合格中标项目经理:刘海青自本中标结果公示之日起两个工作日内，对中标结果没有异议的，招标人将签发中标通知书。
