项目编号:,235664
中标类型:,监理中标
地 区:,四川
招标单位:,四川泰昊投资管理有限公司
工程名称:,四川成都市龙华路道路景观绿化建设工程（监理（5标段））中标公告
中标单位:,四川亿联建设工程项目管理有限公司
建筑面积:,
中标价格:,
公示时间:,2012-4-28
备 注:,
