项目编号:,HZZJB2015服字8号
中标类型:,工程中标
地 区:,广西
招标单位:,贺州市生态新城开发有限公司
工程名称:,广西贺州市生态新城开发有限公司贺州市北堤公园提升改造工程1标段（施工监理服务）的中标候选人公示
中标单位:,广西城建咨询有限公司
建筑面积:,
中标价格:,46.15 万元
公示时间:,2015-10-19
备 注:,
