标包名称,中标单位名称,中标候选人名次
杭州萧山机场A滑中线灯加密工程土建附属工程,一硕建设工程有限公司,第一中标候选人
杭州萧山机场A滑中线灯加密工程土建附属工程,天鹏建设有限公司,第二中标候选人
杭州萧山机场A滑中线灯加密工程土建附属工程,河南瑞旗建设工程有限公司,第三中标候选人
