询价单名称,贵州黔北发电厂（2019年12月-5）标牌等一批采购终止公告
采购人,
询价单编号,2019-HD-GZJY-QBFA-3-1094-1,发布时间,2019-12-10 11:15:44
详细内容,,报价截止日期,
报名截止日期,
原因,挂网后，供应商反馈电热检修部提的“标牌”需求计划，不采购！终止后，重新挂网！
