序号	物资描述	计量单位	采购数量	税率	交货日期	报价要求
1	90度弯头 Φ108*4 20#	件	3.0000	0.16	2019-03-16	90E（L）DN100
2	90度弯头 Φ273*8 20#	件	13.0000	0.16	2019-03-16	90E（L）DN250
3	90°弯头 Φ159*4.5 20#	个	4.0000	0.16	2019-03-16	90E（L）DN150
4	90°弯头 DN80（D89*4mm） 20# （CA）	个	12.0000	0.16	2019-03-16	90E（L）DN80
5	90度不锈钢长半径异径弯头 DN500*DN400  φ508*10*406.4*9    304 GB/T12459	个	2.0000	0.16	2019-03-16	
6	异径三通 T（R） DN300*300*150 壁厚8 SCH40 A系列 20# GB/T12459	个	2.0000	0.16	2019-03-16	此单12项全部发往广州
7	异径三通 T（R） DN300*300*150 壁厚8 SCH40 A系列 20# GB/T12459	个	2.0000	0.16	2019-03-16	
8	异径三通 T（R） DN300*300*250 壁厚8 SCH40 A系列 20# GB/T12459	个	1.0000	0.16	2019-03-16	
9	异径三通 T（R）DN400*400*250 壁厚8 SCH40  A系列 20# GB/T12459	个	2.0000	0.16	2019-03-16	
10	异径接头 R（C） DN250*200* 壁厚4.5 SCH40 A系列  20# GB/T12459	个	4.0000	0.16	2019-03-16	
11	异径接头 R（C） DN200*150* 壁厚4.5 SCH40 A系列  10# GB/T12459	个	1.0000	0.16	2019-03-16	
12	不锈钢异径接头 R（C） DN250*400* 壁厚9 SCH40 A系列  304 GB/T12459	个	1.0000	0.16	2019-03-16	
