合同编号:,2018CG2180-2
合同名称:,安徽机械工业学校采购2018教育技能竞赛设备项目
项目编号:,2018CG2180
项目名称:,安徽机械工业学校采购2018教育技能竞赛设备项目
采购人（甲方）:,安徽机械工业学校
供应商（乙方）:,合肥联教信息科技有限公司
所属地域:,市辖区
所属行业:,
合同金额:,628000.0000元
合同签订日期:,2018/10/16 0:00:00
合同公告日期:,2018/10/16
代理机构:,市辖区公共资源交易中心
免责声明 :,"本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的,本网对其内容概不负责,亦不承担任何法律责任。"
