合同编号:	HT-LUTS2019-039
合同名称:	兰州理工大学兰州理工大学兰工坪校区13#楼前道路改造项目
项目编号:	zjg201906002
项目名称:	兰州理工大学兰工坪校区13#楼前道路改造项目
采购人（甲方）:	兰州理工大学
供应商（乙方）:	甘肃省安装建设集团公司
所属地域:	甘肃省
所属行业:	其他未列明建筑业
合同金额:	105.000000万元
合同签订日期:	2019-07-31
合同公告日期:	2019-09-25
代理机构:	中海建国际招标有限责任公司
中标、成交公告:	兰州理工大学兰工坪校区13#楼前道路改造项目成交公告
合同附件:	兰州理工13#楼道路改造合同（备案）下载
免责声明	本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
