项目编号,JG2016-9077
项目名称,惠州博罗供电局2017年中低压配电网业扩配套及紧急项目施工（第一标段:市局立项批复）
招标单位,广东电网有限责任公司惠州供电局
招标代理,广东曦达工程咨询有限公司
中标单位,惠州市惠城电力实业有限公司
项目编号,JG2016-9077
总价（万元）,284.85
项目负责人,赖少波
中标通知书编号,广州公资交（建设）字 [2017] 第 [00769] 号
中标通知书发放时间,2017-02-06 09:24:57
