玄武区金川河流域红山片区雨污水管网清疏修缮工程的中标公告
项目编号,BNJ190891
项目名称,玄武区金川河流域红山片区雨污水管网清疏修缮工程
标段编号,BNJ190891-01ZG
标段名称,工程总承包
建设单位名称,南京市玄武区水务局
项目类型,市政工程
发包类型,公开招标
中标单位名称,宏腾建设集团有限公司;中国市政工程中南设计研究总院有限公司
项目经理姓名,丁宏伟
中标价（万元|%）,9225.740000
中标工期（天）,120
中标时间,2019年12月02日
评标委员会成员:,
招标人定标原因及依据,
工程地点,
