项目信息
备案项目编号,2015-441700-70-03-003101
项目名称,阳江市立乔实业有限公司悦心园商住项目
项目所在地,阳江市江城区城北街道金山路325国道随垌路口
项目总投资,6802.5577万元
项目规模及内容,阳江市江城区金山路随垌路口商住项目总用地面积8729.7平方米，批准3栋高层住宅为12、15、15层，沿主要道路布置商业，总建筑面积25609.71平方米，容积率2.2，建筑密度30%，计容建筑面积19204.71平方米。
建设单位,阳江市立乔实业有限公司
备案机关,阳江市发展和改革局
备案申报日期,2015-05-14 15:35:04.0
复核通过日期,2015-05-18 00:00:00.0
项目起止年限,"2015-09-01 00:00:00.0
 											 - 2016-12-01 00:00:00.0"
项目当前状态,办结（通过）
