项目信息
备案项目编号,2019-440605-47-03-020658
项目名称,厂房
项目所在地,佛山市南海区大沥镇联安村联安大道56号之一
项目总投资,1500.0万元
项目规模及内容,"厂房属于框架结构，共六层，占地面积1696.59平方米，建筑面积8982.9平方米;
宿舍属于框架结构，共四层，占地面积226平方米，建筑面积1104平方米。"
建设单位,佛山市南海区大沥镇联安村东隅股份合作经济社
备案机关,南海区大沥镇经济促进局
备案申报日期,2019-06-24 19:32:32.0
复核通过日期,2019-06-25 00:00:00.0
项目起止年限,"2020-02-01 00:00:00.0
 											 - 2021-05-01 00:00:00.0"
项目当前状态,办结（通过）
