合同编号:,ZZYDC20181018/B
合同名称:,海南史志馆设备采购项目合同书
项目编号:,ZZYDC20181018
项目名称:,海南史志馆设备采购项目
采购人（甲方）:,海南史志馆
供应商（乙方）:,海南盛世欣兴格力贸易有限公司
所属地域:,海南省
所属行业:,制造业
合同金额:,47.079500万元
合同签订日期:,2018-12-17
合同公告日期:,2018-12-18
代理机构:,海南中政源达项目管理有限公司
中标、成交公告:,海南史志馆-海南史志馆设备采购项目-中标公告
合同附件:,B包合同扫描件.pdf下载
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
