合同编号:,FZGY-CGYQ2018136-1
合同名称:,阜阳市颍泉区教育局智慧用电云平台项目
项目编号:,FZGY-CGYQ2018136
项目名称:,阜阳市颍泉区教育局智慧用电云平台项目
采购人（甲方）:,阜阳市颍泉区教育局
供应商（乙方）:,安徽慧泉电子科技有限公司
所属地域:,颍泉区
所属行业:,
合同金额:,214860.0000元
合同签订日期:,2019/4/26 0:00:00
合同公告日期:,2019/4/26
代理机构:,颍泉区公共资源交易中心
免责声明 :,"本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的,本网对其内容概不负责,亦不承担任何法律责任。"
