标段编号:	0000-20GCCMSK0065-1
标段名称:	台州温岭博雅苑项目PC供货工程
文件是否收费:	否
招标文件发售时间:	2020-01-23 09:00  至  2020-02-24 18:00
询问截止时间:	2020-02-17 14:00
异议截止时间:	2020-02-17 14:00
递交投标文件截止时间 :	2020-02-27 14:00
开标时间:	2020-02-27 14:01
文件获取方式:	网上下载
文件递交方式:	网上递交
网址:	招商局集团电子招标采购交易网（https://dzzb.ciesco.com.cn）
是否接受联合体投标:	否
资格要求:	
