中国石化集团仪征化纤社区供电移交改造工程的最高限价公示
工程编号:,YZB201807003,工程名称:,中国石化集团仪征化纤社区供电移交改造工程
标段编号:,YZB201807003004,标段名称:,一标段10KV供配电施工招标
代理机构名称:,江苏志诚工程咨询管理有限公司,建设单位:,国网江苏省电力有限公司仪征市供电分公司;江苏省电力公司仪征市供电公司
最高限价（万元）:,2070.35
