合同编号:	JH20190626013
合同名称:	宜兴市官林镇丰义、钮家、新材料产业园环卫保洁一体化项目合同书
项目编号:	YXDLZC2019-071[公代]
项目名称:	宜兴市官林镇丰义、钮家、新材料产业园环卫保洁一体化项目
采购人（甲方）:	官林镇
供应商（乙方）:	无锡市顺心保洁有限公司
所属地域:	江苏省 无锡市 宜兴市
所属行业:	食用菌种植
合同金额:	
合同签订日期:	2019-11-13
合同公告日期:	2019-11-13
代理机构:	江苏宏翔工程造价咨询有限公司
中标、成交公告:	宜兴市官林镇丰义、钮家、新材料产业园环卫保洁一体化项目成交结果公示
合同附件:	
免责声明	本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
