合同名称:,根据党支部建设和教育教育等需要，我校需要把一个教室改建装修成一个会议室。
项目编号:,确政采谈-2019-03-49
项目名称:,确山县第二小学会议室装修
采购人（甲方）:,确山县第二小学
供应商（乙方）:,河南省伟恒建设工程有限公司
合同金额:,8.5万元
合同签订日期:,2019-03-17
合同公告日期:,2019-03-28 15:18:47
代理机构:,
政府采购合同:,会议室装修.zip
