合同编号:,HZ2018-1436
合同名称:,海口市滨海第九小学（滨海校区）食宿承包经营合同
项目编号:,HZ2018-398
项目名称:,海口市滨海第九小学（滨海校区）学生供餐及午休管理
采购人（甲方）:,海口市滨海第九小学
供应商（乙方）:,海南力合泰食品有限公司
所属地域:,海南省 海口市
所属行业:,公共管理、社会保障和社会组织
合同金额:,0.000000万元
合同签订日期:,2018-09-28
合同公告日期:,2018-09-28
代理机构:,海南海政招标有限公司
中标、成交公告:,海口市滨海第九小学-海口市滨海第九小学（滨海校区）学生供餐及午休管理-成交公告
合同附件:,HZ2018-398.rar下载
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
