GZ037号地块（奥园西湖名郡）二期房地产项目的中标人公告
工程编号:,YZS201709016
工程名称:,GZ037号地块（奥园西湖名郡）二期房地产项目
标段编号:,YZS201709016004
标段名称:,GZ037号地块（奥园西湖名郡）二期房地产项目二标段（A地块A-1至A-13楼、A-19-至A-24楼、A地库及人防，配电房，物业用房）监理
建设单位名称:,扬州奥园置业有限公司
工程类型:,房建工程监理
发包类型:,邀请招标
中标单位名称:,扬州市建圣工程建设监理有限公司
项目负责人姓名:,30d23270-1cb6-4082-ad6f-cf8a206eebb7
建筑面积（平方米）:,
中标价 :,399.9万元
中标工期（天）:,360
中标时间:,2018年1月5日
工程地点:,高桥北路西侧、秋实路北侧、史可法路东侧、北外环路南侧
专业内容:,
评标委员会成员:,"李泉,周余民,秦海明,周延贵,吕勇"
备注:,
