品目名称,参考品牌,型号、规格或技术参数,单位,数量,备注
沙发,旺辉,WH-SF03，单人位870*850*800 二人位 1350*850*800，1、内框架基材:优质实木木材，材质坚硬刚性强，含水率低于9%，经蒸、压煮、烘干、杀虫、杀菌处理，防腐、防虫、防潮;优质西皮.,组,1.00,
茶几,旺辉,WH-ZJ01，颜色:胡桃色 ，长机1200W×450D×450H，材质:基材采用德国进口优质环保型E1级中密度纤维板，含水率7%，饰面为0.8MM厚美国进口AAA级天然黑胡桃木皮，胡桃实木封边:采用台湾进口“大宝”牌优质环保油漆五底四面;德国进口“牛头牌”环保胶水，优质德国进口“海福乐”牌五金配件，经过防锈、防腐处理,张,1.00,
办公椅,旺辉,"WH-DU26，常规，材质:座椅填充材料采用密度为60＃以上高弹力环保海绵;座采用台湾“颐达”麻绒饰面;台湾MDA气动棒,具有倾仰,升降功能,加厚PP扶手，加厚尼龙强力五爪脚架,高负荷尼龙滑轮",张,2.00,
沙发,旺辉,折叠沙发WH-SF12，规格:2000W*1200D*455H,张,1.00,
文件柜,旺辉,"WH-WG03-2T，规格:800W*550D*1850H，1、基材:层板，顶板采用25MM E1 级环保型中纤板，经过防潮、防虫、防腐等化学处理;
2、颜色均匀，硬度高、耐磨性强。
3、筐体采用标准1.0MM厚优质冷轧钢板, 表面经就工位化学处理后静电喷涂。锁具为上海生产的琦琳牌",组,1.00,
文件柜,旺辉,"WH-WG03-3T，颜色;亚光色   规格   800W×550D×1850H，1、基材:层板，顶板采用25MM E1 级环保型中纤板，经过防潮、防虫、防腐等化学处理;
2、颜色均匀，硬度高、耐磨性强。
3、筐体采用标准1.0MM厚优质冷轧钢板, 表面经就工位化学处理后静电喷涂。锁具为上海生产的琦琳牌",组,1.00,
