供应商:山西冠捷商贸有限公司
商品名称,商品型号,成交价,数量,小计
联想（Lenovo） 扬天T4900v商用台式电脑整机 （I5-8400 8G 1T 集显 无光驱 千兆网卡 WIN10）21.5英寸,扬天T4900v-01,4300.00,2,8600.00
联想（Lenovo） 小新Air14-2019新品笔记本电脑超轻薄全面屏窄边框大学生游戏设计超极本 定制十代i5 12G 512G MX250独显 银,Lenovo ideapad MIIX 510-12ISK027,5600.00,1,5600.00
"邮费:  0.00
							    商品金额 :14200.00
							    总计: 14200.00"
