项目编号,ZM14050003,项目名称,透气火泥（电炉厂）
发布日期,2014/05/21   13:53:20,报名起止日期,
投标日期,2014/05/20   13:00 -- 2014/05/28   13:30,一轮截至时间开标日期,2014/05/28   13:30
项目类别,辅材,招标部门,鑫智链招标公司物资招标部
地址,南京市六合区沿江工业开发区卸甲甸幸福路1号
