项目编号:,
中标类型:,工程中标
地 区:,山东
招标单位:,烟台市芝罘区人民政府奇山街道办事处 烟台市芝罘区城市管理局
工程名称:,山东烟台市芝罘区人民政府奇山街道办事处、烟台市芝罘区城市管理局社区公园绿化改造工程中标公告
中标单位:,烟台市莱山区盛泰园林绿化有限公司
建筑面积:,
中标价格:,161.02 万元
公示时间:,2011-8-19
备 注:,
