标包名称,中标单位名称,中标候选人名次
四川华西安装工程有限公司办公室装饰工程,四川西南正大装饰工程有限公司,第三中标候选人
四川华西安装工程有限公司办公室装饰工程,成都建玺建筑劳务有限公司,第二中标候选人
四川华西安装工程有限公司办公室装饰工程,成都兴卫劳务有限公司,第一中标候选人
