项目编号,ZH13090020,项目名称,铝块
发布日期,2013/09/09   13:14:15,报名起止日期,
投标日期,2013/09/09   08:00 -- 2013/09/11   10:00,一轮截至时间开标日期,2013/09/11   10:00
项目类别,"合金,石料",招标部门,鑫智链招标公司物资招标部
地址,南京市六合区沿江工业开发区卸甲甸幸福路1号
