项目名称:,罗湖法院业务用房改造工程,项目编号:,2018-440300-91-01-706490
是否重大项目:,否
招标项目名称:,罗湖区人民法院中央空调系统改造,招标项目编号:,2018-440300-91-01-706490002
工程类型:,货物采购,招标方式:,公开招标
资格审查方式:,资格后审,是否预选招标:,否
