合同编号:,BSDSDH-2017-294
合同名称:,盈江县贫困地区边境县村综合文化服务中心覆盖工程建设项目-旧城镇、弄璋镇、油松岭乡合同
项目编号:,BSDSDH-2017-294
项目名称:,盈江县贫困地区边境县村综合文化服务中心覆盖工程建设项目-旧城镇、弄璋镇、油松岭乡
采购人（甲方）:,盈江县委宣传部
供应商（乙方）:,保山市板桥建筑工程有限责任公司
所属地域:,云南省 德宏傣族景颇族自治州
所属行业:,建筑业
合同金额:,179.000000万元
合同签订日期:,2017-10-30
合同公告日期:,2017-11-09
代理机构:,保山市东升建设工程招标代理有限公司
中标、成交公告:,盈江县贫困地区边境县村综合文化服务中心覆盖工程建设项目-旧城镇、弄璋镇、油松岭乡竞争性谈判成交结果公告
合同附件:,覆盖旧城弄璋油松林_20171109104636.pdf下载
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
