标段编号:,GC532525201800054001001
标段名称:,石屏县龙武镇龙武村委会龙武村功能提升项目-
变更内容:,“石屏县龙武镇龙武村委会龙武村功能提升项目”招标公告中招标电子技术标文件格式由ZBJ改为BZBJ。
