合同编号:,津采同2019146870号
合同名称:,天津市档案馆物业管理项目_第1包
项目编号:,TGPC-2019-D-0147
项目名称:,天津市档案馆物业管理项目_第1包
采购人（甲方）:,天津市档案馆机关
供应商（乙方）:,天津鸿瀚物业管理有限公司
所属地域:,天津市 市辖区
所属行业:,暂无
合同金额:,556.578000万元
合同签订日期:,2019-06-17
合同公告日期:,2019-06-17
代理机构:,天津市政府采购中心
中标、成交公告:,天津市档案馆物业管理项目 （项目编号:TGPC-2019-D-0147）中标公告
合同附件:,TGPC-2019-D-0147.pdf下载
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
