合同编号:,HZ2016-1510
合同名称:,澄迈县人民检察院乡镇法律宣传栏制作安装项目合同书
项目编号:,HZ2016-496
项目名称:,澄迈县人民检察院乡镇法律宣传栏制作安装
采购人（甲方）:,澄迈县人民检察院
供应商（乙方）:,海南石琼建筑工程公司
所属地域:,海南省 省直辖县级行政单位 澄迈县
所属行业:,公共管理、社会保障和社会组织
合同金额:,40.000000万元
合同签订日期:,2016-11-04
合同公告日期:,2016-11-04
代理机构:,海南海政招标有限公司
中标、成交公告:,海南海政招标有限公司（HZ2016-496）成交结果公告
合同附件:,HZ2016-496合同.rar下载
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
