项目编号,ZP10070031,项目名称,新铁厂电动卷扬链码校准装置
发布日期,2010/07/05   14:32:53,报名起止日期,
投标日期,2010/07/05   10:15 -- 2010/07/13   13:30,一轮截至时间开标日期,2010/07/13   13:30
项目类别,备件,招标部门,A21020100
地址,南京市六合区沿江工业开发区卸甲甸幸福路1号
