合同编号:	BHDEC201945
合同名称:	北京航空航天大学宇航学院电推进试验真空系统
项目编号:	1941STC71477
项目名称:	北京航空航天大学宇航学院电推进试验真空系统
采购人（甲方）:	北京航空航天大学
供应商（乙方）:	常熟市虞华真空设备科技有限公司
所属地域:	北京市 市辖区 海淀区
所属行业:	制造业
合同金额:	155.500000万元
合同签订日期:	2019-09-26
合同公告日期:	2019-09-27
代理机构:	中钢招标有限责任公司
中标、成交公告:	北京航空航天大学宇航学院电推进试验真空系统中标公告
合同附件:	电推进试验真空系统.pdf下载
免责声明	本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
