项目编号:,2016-011743-0201-1000
中标类型:,设计中标
地 区:,山东
招标单位:,青岛市李沧区城市建设管理局
工程名称:,山东李沧区大村河汇水分区青银高速片区街头绿地改造工程（设计）
中标单位:,青岛中景设计咨询股份有限公司
建筑面积:,
中标价格:,147.40 万元
公示时间:,2017-1-18
备 注:,
