合同编号:	NXMJ2019字（科技）013号
合同名称:	宁夏煤矿安全监察局煤矿事故分析鉴定中心实验室项目监理合同
项目编号:	HRNX-ZFCG-2019-003
项目名称:	宁夏煤矿安全监察局煤矿事故分析鉴定中心实验室项目
采购人（甲方）:	宁夏煤矿安全监察局
供应商（乙方）:	银川高新区远成建设工程监理有限公司
所属地域:	宁夏回族自治区 银川市 兴庆区
所属行业:	公共安全管理机构
合同金额:	34.500000万元
合同签订日期:	2019-08-27
合同公告日期:	2019-09-17
代理机构:	陕西华瑞项目管理有限公司
中标、成交公告:	宁夏煤矿安全监察局煤矿事故分析鉴定中心实验室项目监理标段中标结果公告
合同附件:	宁夏煤矿安全监察局煤矿事故分析鉴定中心实验室项目设备采购及安装监理合同.PDF下载
免责声明	本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
