序号	物资描述	计量单位	采购数量	税率	交货日期	报价要求
1	圆钢 ∮12 热镀锌	千克	30.0000	0.13	2020-10-10	
2	焊接钢管  材质 热镀锌	吨	450.0000	0.13	2020-10-10	湛江钢铁合格供应商，质保书、合格证
3	金属软管管接头接头 Φ65	个	10.0000	0.13	2020-10-10	
4	膨胀螺栓 M10*100	套	450.0000	0.13	2020-10-10	
5	玻璃纤维布 一卷宽10cm FRP	米	500.0000	0.13	2020-10-10	
6	金属软管管接头 DN20	个	150.0000	0.13	2020-10-10	
7	金属软管管接头 DN25	个	50.0000	0.13	2020-10-10	
8	跨接线 截面积16mm2 编制铜线	米	150.0000	0.13	2020-10-10	湛江钢铁合格供应商，质保书、合格证
9	避雷针 ∮25  L=3000mm 热镀锌圆钢	根	2.0000	0.13	2020-10-10	
