项目信息
备案项目编号,2017-445281-44-03-002973
项目名称,林锦霞个人住宅光伏发电项目
项目所在地,揭阳市普宁市大池农场大池村门牌号241号
项目总投资,5.0万元
项目规模及内容,林锦霞拟投资约5万元，在普宁市大池农场大池村门牌号241号屋顶安装光伏并网发电系统，本期规划装机容量为5千瓦，占用屋顶面积约80平方米，项目主要包括光电转换系统、直流系统、逆变系统、并网系统。安装薄膜电池组件HNS-ST63共80件。本工程年发电约为0.7万千瓦时，25年总发电量约为16万千瓦时。
建设单位,广东电网揭阳普宁供电局
备案机关,普宁市发展和改革局
备案申报日期,2017-04-10 11:10:05.0
复核通过日期,2017-04-10 00:00:00.0
项目起止年限,"2017-04-01 00:00:00.0
 											 - 2017-05-01 00:00:00.0"
项目当前状态,办结（通过）
