项目编号:,CXX20110600401
中标类型:,工程中标
地 区:,浙江
招标单位:,泗安镇中心幼儿园
工程名称:,浙江长兴县泗安镇中心幼儿园室外附属及景观绿化工程中标公告
中标单位:,长兴恒丰建设工程有限公司
建筑面积:,
中标价格:,79.81 万元
公示时间:,2011-6-16
备 注:,
