合同编号:,YNZZHWDL1811-GH001（更正）
合同名称:,大理市银桥绿色现代农业产业园项目设备采购及安装工程合同
项目编号:,YNZZHWDL1811-GH001
项目名称:,大理市银桥绿色现代农业产业园项目设备采购及安装工程
采购人（甲方）:,大理市农业局
供应商（乙方）:,云南苍海仁农业科技发展有限公司
所属地域:,云南省 大理白族自治州
所属行业:,国家机构
合同金额:,497.871100万元
合同签订日期:,2018-12-07
合同公告日期:,2018-12-10
代理机构:,云南中咨海外咨询有限公司
中标、成交公告:,大理市银桥绿色现代农业产业园项目设备采购及安装工程评标结果公示
合同附件:,
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
