项目信息
备案项目编号	2017-440222-70-03-802635
项目名称	始兴县美景园四期项目72-75#、86-88#楼
项目所在地	韶关市始兴县太平镇原铁合金厂内
项目总投资	47018.0万元
项目规模及内容	项目总占地面积约15万平方米，建筑面积约38万平方米。本项目为72-75#、86-88#楼，其建设用地面积18322.37㎡，总建筑面积约117544.15㎡。容积率5.85。小区设计住户734户，居住总人口约2349人。停车位265个。
建设单位	始兴县美景房地产有限公司
备案机关	始兴县发展和改革局
备案申报日期	2017-06-08 10:17:23.0
复核通过日期	2017-06-14 00:00:00.0
项目起止年限	2017-08-01 00:00:00.0
 											 - 2020-12-01 00:00:00.0
项目当前状态	办结（通过）
