项目信息
备案项目编号	2019-440605-44-03-044019
项目名称	小塘车站充电站（第二期）
项目所在地	佛山市南海区狮山镇小塘车站内
项目总投资	150.0万元
项目规模及内容	该充电站占用场地面积约800平方米，新增1台800KVA的箱式配电站，6支120KW充电终端，总功率720KW，可满足24辆纯电动公交车充电。
建设单位	佛山市瑞兴能源发展有限公司
备案机关	南海区狮山镇经济促进局
备案申报日期	2019-08-01 10:56:11.0
复核通过日期	2019-08-01 00:00:00.0
项目起止年限	2019-07-01 00:00:00.0
 											 - 2019-10-01 00:00:00.0
项目当前状态	办结（通过）
