标段编号:,GC530721201700019001001
标段名称:,玉龙纳西族自治县县委党校及教师进修学校宿舍楼
变更内容:,补遗各投标单位:“玉龙纳西族自治县县委党校及教师进修学校宿舍楼”因商务标编制系统不识别接口文件中的部分内容，导致“总价措施项目”项目编码缺失，现已补充完整，并重新制作商务标上传至交易平台。请各投标单位重新下载商务标文件。云南中咨海外咨询有限公司2017年10月31日招标文件附件:补遗.JPG;
