沭阳县农村河道疏浚整治工程建设处的中标公告
项目编号:,SYX20141226027
项目名称:,沭阳县2015年省级农村河道疏浚整治工程
标段编号:,SYX2014122602701
标段名称:,沭阳县2015年省级农村河道疏浚整治工程勘察、设计
建设单位名称:,沭阳县农村河道疏浚整治工程建设处
项目类型:,水利工程
发包类型:,公开招标
中标单位名称:,宿迁市水务勘测设计研究有限公司
项目负责人姓名:,
项目负责人证书编号:,
建筑面积（平方米）:,@JianZuMianJi
中标价 （万元）:,35.00
中标工期（天）:,15
中标时间:,2015/1/12
工程地点:,沭阳县境内
