询价单名称,2018高温管网局部阀门管道大修工程询价结果通知书
采购人,国家电投集团东北电力有限公司抚顺抚电能源分公司
询价单编号,2018-QT-DBGS-FDNY-3-0172-1,发布时间,2018-08-03 14:58:40
详细内容,,报价截止日期,
报名截止日期,
原因,
