事项名称	审批单位	审批耗时（工作日）	技术审查耗时（工作日）	事项状态
取水许可审批	州水利局	暂无	暂无	无需办理
政府投资项目可行性研究报告审批	格尔木工业园管理委员会	暂无	暂无	审核中
竣工验收备案	格尔木工业园管理委员会	暂无	暂无	无需办理
选址意见书	市自然资源局	暂无	暂无	无需办理
建设工程初步设计及概算审批	州发展改革委	暂无	暂无	审核中
建设工程初步设计及概算审批	州发展改革委	暂无	暂无	无需办理
雷电防护装置设计审核	州气象局	暂无	暂无	无需办理
修建民用建筑防空地下室项目审批	德令哈市人防办	暂无	暂无	无需办理
建设工程规划类许可证核发	市自然资源局	暂无	暂无	无需办理
生产建设项目水土保持方案审批	州水利局	暂无	暂无	无需办理
洪水影响评价审批	州水利局	暂无	暂无	审核中
建设用地（含临时用地）规划许可证核发	市自然资源局	暂无	暂无	无需办理
