项目编号,202004001432
项目名称,合川区合阳办马家沟路36号（阳光美庐）地下车库B1-1号等100处车位
资产类别,房产
转让方名称,重庆长途汽车运输（集团）有限公司
转让标的所在地区,
挂牌价格,4.66万元 人民币
挂牌期间,10
挂牌日期,2020-04-30
交易方式,其他
转让说明事项,无
